BL_NUMBER,EQPA_CONTAINER,EQPA_MOVE_DATE,EQPA_MOVE_CODE,EQPA_CONTAINER_TYPE,EQPA_CURRENT_LOCATION,EQPA_LINE,EQPA_VOYAGE,EQPA_PORT,EQPA_FROM_PORT,EQPA_TO_PORT,EQPA_TERMINAL,EQPA_IMCO_UNNO,EQPA_IMCO_CLASS,EQPA_IMCO_PAGE,EQPA_IMCO_FLASH,UNNO,CLASS,PAGENO,FLASH,FRIEGHT,COUNTRY
MEDUHH707745,FSCU6240034,01-ינו-23,LDFULL,40HC,ILHFA,MSC,AE252R,ILHFA,ILHFA,ITRAN,ILHFAHP,3091,9,,,UN3091,9,,,2342.78,ISRAEL
MEDUHH710863,MSMU8851220,01-ינו-23,LDFULL,40HC,ILHFA,MSC,AE252R,ILHFA,ILHFA,ITRAN,ILHFAHP,3265,8,,,,,,,1789.41,ISRAEL
MEDUAV717916,EURU1214033,03-ינו-23,DSFULL,20TK,ILASH,MSC,NI250A,ILASH,BEANR,ILASH,ILASHAP,2015,51,,,UN2015,5.1,,0,1357.32,CHINA
MEDUHH714824,MEDU3302178,11-ינו-23,LDFULL,20DV,ILHFA,MSC,NI302R,ILHFA,ILHFA,LTKLJ,ILHFAHP,3065,3,,,UN3065,3,,13,1209.87,ISRAEL
MEDUJA040552,OTPU6450325,14-ינו-23,DSFULL,40HR,ILASH,MSC,AE302R,ILASH,JPHKT,ILASH,ILASHAP,3267,80,,,UN3267,8,,0,1789.41,JAPAN
MEDUJA040552,OTPU6450325,14-ינו-23,DSFULL,40HR,ILASH,MSC,AE302R,ILASH,JPHKT,ILASH,ILASHAP,3267,80,,,UN3267,8,,0,1789.41,JAPAN
MEDUEE403682,TCNU7164465,17-ינו-23,DSFULL,40HC,ILASH,MSC,NI252A,ILASH,NLRTM,ILASH,ILASHAP,3480,90,,,,,,,2342.78,USA
MEDUIQ393494,TGHU4907208,22-ינו-23,DSFULL,40DV,ILHFA,MSC,AE303R,ILHFA,ITRAN,ILHFA,ILHFAHP,3077,9,,,,,,,2342.78,ITALY
MEDUAS624156,FBIU0297371,15-ינו-23,LDFULL,20DV,ILASH,MSC,AE302R,ILASH,ILASH,ITRAN,ILASHAP,1486,51,,,UN1486,5.1,,,1357.32,ISRAEL
MEDUAS624156,FCIU5880758,15-ינו-23,LDFULL,20DV,ILASH,MSC,AE302R,ILASH,ILASH,ITRAN,ILASHAP,1486,51,,,UN1486,5.1,,,1357.32,ISRAEL
